,ts,rainfall,rainfall,wind
484,2019-07-29 06:42:33.155,0,0,301
485,2019-07-29 06:52:33.492,0,0,342
486,2019-07-29 07:02:33.378,0,0,335
487,2019-07-29 07:12:33.490,0,0,283
488,2019-07-29 07:22:33.255,0,0,164
489,2019-07-29 07:32:33.639,0,0,71
490,2019-07-29 07:42:33.709,0,0,368
491,2019-07-29 07:52:33.795,0,0,437
492,2019-07-29 08:02:33.923,0,0,523
493,2019-07-29 08:12:34.238,0,0,563
494,2019-07-29 08:22:34.111,0,0,496
495,2019-07-29 08:32:34.381,0,0,492
496,2019-07-29 08:42:34.050,0,0,256
497,2019-07-29 08:52:34.385,0,0,315
498,2019-07-29 09:02:34.676,0,0,151
499,2019-07-29 09:12:34.777,0,0,64
500,2019-07-29 09:22:34.872,0,0,38
501,2019-07-29 09:32:34.577,0,0,22
502,2019-07-29 09:42:34.923,0,0,35
503,2019-07-29 09:52:34.650,0,0,30
504,2019-07-29 10:02:35.326,0,0,79
505,2019-07-29 10:12:35.385,0,0,51
506,2019-07-29 10:22:35.329,0,0,463
507,2019-07-29 10:32:35.080,0,0,869
508,2019-07-29 10:42:35.250,0,0,1223
509,2019-07-29 10:52:35.455,0,0,1357
510,2019-07-29 11:02:35.379,0,0,1359
511,2019-07-29 11:12:35.741,0,0,1513
512,2019-07-29 11:22:35.560,0,0,1581
513,2019-07-29 11:32:35.873,0,0,1411
514,2019-07-29 11:42:35.730,0,0,1059
515,2019-07-29 11:52:36.073,0,0,721
516,2019-07-29 12:02:36.013,0,0,1407
517,2019-07-29 12:12:36.074,0,0,835
518,2019-07-29 12:22:36.191,0,0,782
519,2019-07-29 12:32:36.477,0,0,716
520,2019-07-29 12:42:36.665,0,0,917
521,2019-07-29 12:52:36.451,0,0,841
522,2019-07-29 13:02:36.861,0,0,1173
523,2019-07-29 13:12:36.665,0,0,827
524,2019-07-29 13:22:36.775,0,0,1025
525,2019-07-29 13:32:36.840,0,0,569
526,2019-07-29 13:42:36.870,0,0,879
527,2019-07-29 13:52:37.236,0,0,948
528,2019-07-29 14:02:37.090,0,0,788
529,2019-07-29 14:12:37.218,0,0,374
530,2019-07-29 14:22:37.390,0,0,1071
531,2019-07-29 14:32:37.730,0,0,931
532,2019-07-29 14:42:37.852,0,0,422
533,2019-07-29 14:52:37.684,0,0,893
534,2019-07-29 15:02:37.894,0,0,491
535,2019-07-29 15:12:38.311,0,0,434
536,2019-07-29 15:22:38.420,0,0,389
537,2019-07-29 15:32:38.546,0,0,1047
538,2019-07-29 15:42:38.374,0,0,753
539,2019-07-29 15:52:38.783,0,0,387
540,2019-07-29 16:02:38.896,0,0,1099
541,2019-07-29 16:12:38.866,0,0,899
542,2019-07-29 16:22:38.672,0,0,1255
543,2019-07-29 16:32:38.923,0,0,641
544,2019-07-29 16:42:39.004,0,0,388
545,2019-07-29 16:52:39.164,0,0,258
546,2019-07-29 17:02:39.193,0,0,227
547,2019-07-29 17:12:39.299,0,0,412
548,2019-07-29 17:22:39.064,0,0,456
549,2019-07-29 17:32:39.168,0,0,303
550,2019-07-29 17:42:39.555,0,0,270
551,2019-07-29 17:52:39.649,0,0,970
552,2019-07-29 18:02:39.762,0,0,243
553,2019-07-29 18:12:39.862,0,0,637
554,2019-07-29 18:22:39.981,0,0,351
555,2019-07-29 18:32:40.112,0,0,266
556,2019-07-29 18:42:40.383,0,0,956
557,2019-07-29 18:52:40.485,0,0,497
558,2019-07-29 19:02:40.573,0,0,384
559,2019-07-29 19:12:40.150,0,0,645
560,2019-07-29 19:22:40.270,0,0,317
561,2019-07-29 19:32:40.652,0,0,522
562,2019-07-29 19:42:40.679,0,0,316
563,2019-07-29 19:52:40.636,0,0,49
564,2019-07-29 20:02:40.659,0,0,0
565,2019-07-29 20:12:40.516,0,0,22
566,2019-07-29 20:22:40.783,0,0,5
567,2019-07-29 20:32:40.676,0,0,0
568,2019-07-29 20:42:40.808,0,0,1
569,2019-07-29 20:52:40.799,0,0,2
570,2019-07-29 21:02:40.783,0,0,0
571,2019-07-29 21:12:41.104,0,0,1
572,2019-07-29 21:22:41.256,0,0,0
573,2019-07-29 21:32:41.541,0,0,0
574,2019-07-29 21:42:41.721,0,0,0
575,2019-07-29 21:52:41.467,0,0,1
576,2019-07-29 22:02:41.716,0,0,21
577,2019-07-29 22:12:41.696,0,0,82
578,2019-07-29 22:22:42.006,0,0,313
579,2019-07-29 22:32:41.967,0,0,557
580,2019-07-29 22:42:42.026,0,0,225
581,2019-07-29 22:52:42.294,0,0,62
582,2019-07-29 23:02:42.181,0,0,0
583,2019-07-29 23:12:42.402,0,0,0
584,2019-07-29 23:22:42.573,0,0,30
585,2019-07-29 23:32:42.187,0,0,90
586,2019-07-29 23:42:42.326,0,0,300
587,2019-07-29 23:52:42.718,0,0,211
588,2019-07-30 00:02:42.447,0,0,100
589,2019-07-30 00:12:43.075,0,0,111
590,2019-07-30 00:22:43.178,0,0,84
591,2019-07-30 00:32:43.282,0,0,187
592,2019-07-30 00:42:43.162,0,0,221
593,2019-07-30 00:52:43.408,0,0,184
594,2019-07-30 01:02:43.507,0,0,170
595,2019-07-30 01:12:43.188,0,0,392
596,2019-07-30 01:22:43.493,0,0,449
597,2019-07-30 01:32:43.642,0,0,283
598,2019-07-30 01:42:43.705,0,0,353
599,2019-07-30 01:52:43.853,0,0,397
600,2019-07-30 02:02:43.908,0,0,387
